OBJECTID,Shape,NAME,URL,LINE
1,"(40.73225482700008, -74.00030814799993)",W 4th St - Washington Sq (Lower),http://www.mta.info/nyct/subway/index.html,B-D-F-M
2,"(40.846810332000075, -73.83256899899993)",Buhre Ave,http://www.mta.info/nyct/subway/index.html,6-6 Express
3,"(40.75710733300008, -73.97192000099994)",51st St,http://www.mta.info/nyct/subway/index.html,4-6-6 Express
4,"(40.78864433400008, -73.97621799799992)",86th St,http://www.mta.info/nyct/subway/index.html,1-2
5,"(40.71306533300009, -74.0041310009999)",Brooklyn Bridge - City Hall,http://www.mta.info/nyct/subway/index.html,4-5-6-6 Express
6,"(40.746081332000074, -73.98207600099994)",33rd St,http://www.mta.info/nyct/subway/index.html,4-6-6 Express
7,"(40.762526334000086, -73.96796699999993)",Lexington Ave - 59th St,http://www.mta.info/nyct/subway/index.html,4-5-6-6 Express
8,"(40.89314357500007, -73.85736239399995)",233rd St,http://www.mta.info/nyct/subway/index.html,2-5
9,"(40.77344033400004, -73.9822089999999)",66th St - Lincoln Ctr,http://www.mta.info/nyct/subway/index.html,1-2
10,"(40.82094833200006, -73.89054899999991)",Hunts Point Ave,http://www.mta.info/nyct/subway/index.html,6-6 Express
11,"(40.722854331000065, -74.0062769999999)",Canal St,http://www.mta.info/nyct/subway/index.html,1-2
12,"(40.84386333500004, -73.8363219979999)",Middletown Rd,http://www.mta.info/nyct/subway/index.html,6-6 Express
13,"(40.73986433400006, -73.98659900199993)",23rd St,http://www.mta.info/nyct/subway/index.html,4-6-6 Express
14,"(40.74702333200008, -73.94526399999995)",45th Rd - Court House Sq,http://www.mta.info/nyct/subway/index.html,7-7 Express
15,"(40.730054334000044, -73.99106999899993)",Astor Pl,http://www.mta.info/nyct/subway/index.html,4-6-6 Express
16,"(40.76824733400008, -73.9819290019999)",59th St - Columbus Circle,http://www.mta.info/nyct/subway/index.html,1-2
17,"(40.742216333000044, -73.94891600099993)",Hunters Point Ave,http://www.mta.info/nyct/subway/index.html,7-7 Express
18,"(40.785672333000036, -73.95107000099995)",96th St,http://www.mta.info/nyct/subway/index.html,4-6-6 Express
19,"(40.754622332000054, -73.84562499799995)",Mets - Willets Point,http://www.mta.info/nyct/subway/index.html,7-7 Express
20,"(40.744081333000054, -73.99565700199992)",23rd St,http://www.mta.info/nyct/subway/index.html,1-2
21,"(40.72825133300006, -74.0053670019999)",Houston St,http://www.mta.info/nyct/subway/index.html,1-2
22,"(40.81047633400004, -73.92613799999992)",3rd Ave - 138th St,http://www.mta.info/nyct/subway/index.html,6-6 Express
23,"(40.83648833400008, -73.84703599799991)",Zerega Ave,http://www.mta.info/nyct/subway/index.html,6-6 Express
24,"(40.681711334000056, -73.83768299999991)",104th St,http://www.mta.info/nyct/subway/index.html,A-S
25,"(40.725931238000044, -73.9946746789999)",Bleecker St (Downtown),http://www.mta.info/nyct/subway/index.html,4-6-6 Express
26,"(40.834255332000055, -73.8512219989999)",Castle Hill Ave,http://www.mta.info/nyct/subway/index.html,6-6 Express
27,"(40.60840251400003, -73.8158326869999)",Broad Channel,http://www.mta.info/nyct/subway/index.html,A-S
28,"(40.57631200000009, -73.96850099999995)",Ocean Pkwy,http://www.mta.info/nyct/subway/index.html,Q
29,"(40.761728333000065, -73.9838489999999)",50th St,http://www.mta.info/nyct/subway/index.html,1-2
30,"(40.74262633200004, -73.95358099799995)",Vernon Blvd - Jackson Ave,http://www.mta.info/nyct/subway/index.html,7-7 Express
31,"(40.76814133400006, -73.96387000099992)",68th St - Hunter College,http://www.mta.info/nyct/subway/index.html,4-6-6 Express
32,"(40.75063598400004, -73.9401635349999)",Queensboro Plz,http://www.mta.info/nyct/subway/index.html,7-7 Express-N-W
33,"(40.68042933300006, -73.84385299699994)",Rockaway Blvd,http://www.mta.info/nyct/subway/index.html,A-S
34,"(40.734673334000036, -73.98995099899992)",Union Sq - 14th St,http://www.mta.info/nyct/subway/index.html,4-5-6-6 Express
35,"(40.74914533300006, -73.86952699999995)",Junction Blvd,http://www.mta.info/nyct/subway/index.html,7-7 Express
36,"(40.688889334000066, -73.95999000099994)",Classon Ave,http://www.mta.info/nyct/subway/index.html,G
37,"(40.68962733500007, -73.95352199999991)",Bedford - Nostrand Aves,http://www.mta.info/nyct/subway/index.html,G
38,"(40.66003602100005, -73.97973580599995)",15th St - Prospect Park,http://www.mta.info/nyct/subway/index.html,F-G
39,"(40.666245023000045, -73.98025117899994)",7th Ave,http://www.mta.info/nyct/subway/index.html,F-G
40,"(40.65078200100004, -73.97577599899995)",Ft Hamilton Pkwy,http://www.mta.info/nyct/subway/index.html,F-G
41,"(40.64427233300006, -73.97972116199992)",Church Ave,http://www.mta.info/nyct/subway/index.html,F-G
42,"(40.643904932000055, -73.96435779599994)",Beverly Rd,http://www.mta.info/nyct/subway/index.html,B-Q
43,"(40.650493580000045, -73.96288246199992)",Church Ave,http://www.mta.info/nyct/subway/index.html,B-Q
44,"(40.63514227100006, -73.96269486799991)",Newkirk Ave,http://www.mta.info/nyct/subway/index.html,B-Q
45,"(40.655073375000086, -73.9614534399999)",Parkside Ave,http://www.mta.info/nyct/subway/index.html,B-Q
46,"(40.661633788000074, -73.96203130399994)",Prospect Park,http://www.mta.info/nyct/subway/index.html,B-Q-S
47,"(40.67529502800005, -73.9709563319999)",Grand Army Plaza,http://www.mta.info/nyct/subway/index.html,2-3-4
48,"(40.68086247000008, -73.9749991509999)",Bergen St,http://www.mta.info/nyct/subway/index.html,2-3-4
