id,foursquare:id,name,foursquare:name,fuzzywuzzy:match
35453353,4b2d93a9f964a5201fd924e3,W 4th St - Washington Sq (Lower) (B-D-F-M),MTA Subway - W 4th St/Washington Sq (A/B/C/D/E/F/M),70
35453355,4fa53fa0e4b0c1088e24fa0b,Buhre Ave (6-6 Express),Mta Subway (buhre Ave 6) Buhre Ave Station,50
35453357,4bba1bab7421a5936165c340,51st St (4-6-6 Express),MTA Subway - 42nd St/Grand Central Terminal (4/5/6/7/S),26
35453359,4b664c9cf964a520f51c2be3,86th St (1-2),MTA Subway - 86th St (1),91
35453361,4ad78220f964a520960b21e3,Brooklyn Bridge - City Hall (4-5-6-6 Express),MTA Subway - Fulton St (A/C/J/Z/2/3/4/5),25
35453363,49e36914f964a5207b621fe3,33rd St (4-6-6 Express),Herald Square,30
35453365,4b572861f964a520ac2828e3,Lexington Ave - 59th St (4-5-6-6 Express),MTA Subway - Lexington Ave/59th St (N/Q/R/4/5/6),68
35453369,4be15c230f03a593010319b4,233rd St (2-5),MTA Subway - 233rd St (2/5),92
35453371,4adf9445f964a520c47b21e3,66th St - Lincoln Ctr (1-2),MTA Subway - 72nd St/Broadway (1/2/3),35
35453373,4de50905814df7ebdc24374e,Hunts Point Ave (6-6 Express),ttmg Fan Spot - Southern Bl & Westchester Av (Longwood),35
35453375,,Canal St (1-2),,0
35453377,4fa53fa0e4b0c1088e24fa0b,Middletown Rd (6-6 Express),Mta Subway (buhre Ave 6) Buhre Ave Station,29
35453379,4b57eacef964a5202c4628e3,23rd St (4-6-6 Express),MTA Subway - 23rd St (6),64
35453381,,45th Rd - Court House Sq (7-7 Express),,0
35453383,4b2d8479f964a5203dd824e3,Astor Pl (4-6-6 Express),MTA Subway - Astor Pl (4/6),68
35453387,,59th St - Columbus Circle (1-2),,0
35453389,4b280de9f964a520498e24e3,Hunters Point Ave (7-7 Express),MTA Subway - Hunters Point Ave (7),80
35453391,4b41e8f5f964a52019ca25e3,96th St (4-6-6 Express),MTA Subway - 96th St (6),64
35453393,4dd4005f6365c27b0dbf11e1,Mets - Willets Point (7-7 Express),MTA Regional Bus Depot & Subway Yard - Casey Stengel / Corona Yard,27
35453395,4b1724d4f964a520f6c223e3,23rd St (1-2),MTA Subway - 18th St (1),58
35453397,,Houston St (1-2),,0
35453399,,3rd Ave - 138th St (6-6 Express),,0
35453401,,Zerega Ave (6-6 Express),,0
35453405,4b5f653df964a520e0b729e3,104th St (A-S),MTA Subway - Rockaway Blvd (A),38
35453407,4b2d8479f964a5203dd824e3,Bleecker St (Downtown) (4-6-6 Express),MTA Subway - Astor Pl (4/6),33
35453409,,Castle Hill Ave (6-6 Express),,0
35453411,4b6bb92ef964a520b7162ce3,Broad Channel (A-S),MTA Subway - Broad Channel (A/S),94
35453413,4b92e9f1f964a5208a2634e3,Ocean Pkwy (Q),MTA Subway - W 8th St/NY Aquarium (F/Q),35
35453415,4b0b2275f964a520772d23e3,50th St (1-2),MTA Subway - 47th-50th St/Rockefeller Center (B/D/F/M),53
35453417,4b280de9f964a520498e24e3,Vernon Blvd - Jackson Ave (7-7 Express),MTA Subway - Hunters Point Ave (7),38
35453419,4b60d6c7f964a520bafc29e3,68th St - Hunter College (4-6-6 Express),MTA Subway - Lexington Ave/63rd St (F),18
35453423,4ad684abf964a520970721e3,Queensboro Plz (7-7 Express-N-W),MTA Subway - Queensboro Plaza (N/Q/7),64
35453425,4b5f653df964a520e0b729e3,Rockaway Blvd (A-S),MTA Subway - Rockaway Blvd (A),94
35453427,4b57eacef964a5202c4628e3,Union Sq - 14th St (4-5-6-6 Express),MTA Subway - 23rd St (6),45
35453429,4be37fa5b02ec9b6b6d64fc0,Junction Blvd (7-7 Express),MTA Subway - 103rd St/Corona Plaza (7),40
35453431,,Classon Ave (G),,0
35453433,,Bedford - Nostrand Aves (G),,0
35453435,4acd43fdf964a5209ecb20e3,15th St - Prospect Park (F-G),MTA Subway - 15th St/Prospect Park (F/G),89
35453437,,7th Ave (F-G),,0
35453441,,Ft Hamilton Pkwy (F-G),,0
35453443,4c0a9f936071a593f3e4df32,Church Ave (F-G),MTA Subway - Church Ave (F/G),93
35453445,4b200f21f964a520ac2c24e3,Beverly Rd (B-Q),MTA Subway - Cortelyou Rd (B/Q),70
35453447,,Church Ave (B-Q),,0
35453449,4bb52e252ea19521bd20aa2f,Newkirk Ave (B-Q),MTA Subway - Newkirk Plaza (B/Q),64
35453451,,Parkside Ave (B-Q),,0
35453453,4b636f5df964a5209d792ae3,Prospect Park (B-Q-S),MTA Subway - Prospect Park (B/Q/S),90
35453455,4b03d4e8f964a5204e5022e3,Grand Army Plaza (2-3-4),MTA Subway - 7th Ave (B/Q),27
35453459,4acfc371f964a520d2d520e3,Bergen St (2-3-4),MTA Subway - Atlantic Ave-Barclays Center (B/D/N/Q/R/2/3/4/5),29
35453461,4acfc371f964a520d2d520e3,Atlantic Ave (2-3-4-5),MTA Subway - Atlantic Ave-Barclays Center (B/D/N/Q/R/2/3/4/5),59
35453463,,Rockaway Ave (A-C),,0
35453465,4acfc371f964a520d2d520e3,Fulton St (G),MTA Subway - Atlantic Ave-Barclays Center (B/D/N/Q/R/2/3/4/5),23
35453467,,Clinton - Washington Aves (G),,0
35453469,4b03d4e8f964a5204e5022e3,7th Ave (B-Q),MTA Subway - 7th Ave (B/Q),92
35453471,4acfc371f964a520d2d520e3,Atlantic Ave (B-Q),MTA Subway - Atlantic Ave-Barclays Center (B/D/N/Q/R/2/3/4/5),72
35453473,,Union St (D-N-R),,0
35453477,4acfc371f964a520d2d520e3,Atlantic Av - Pacific St (D-N-R),MTA Subway - Atlantic Ave-Barclays Center (B/D/N/Q/R/2/3/4/5),46
35453479,4b3a1855f964a520026125e3,Borough Hall (4-5),MTA Subway - Jay St-MetroTech (A/C/F/R),34
35453481,4c5ac0202091a593ff0e60d0,Aqueduct Racetrack (To Manh Only) (A),MTA Subway - Aqueduct/N Conduit Ave (A),44
35453483,4b3a1855f964a520026125e3,DeKalb Ave (B-D-N-Q-R),MTA Subway - Jay St-MetroTech (A/C/F/R),29
35453485,,Morris Park (5),,0
35453487,4eeaa4ed77c8730d38061384,Pelham Pkwy (5),MTA Subway - Pelham Parkway (5),80
35453489,,Nostrand Ave (A-C),,0
35453491,4acfc371f964a520d2d520e3,Nevins St (2-3-4-5),MTA Subway - Atlantic Ave-Barclays Center (B/D/N/Q/R/2/3/4/5),31
35453495,4bc10723920eb713b9161a2c,Eastern Pkwy - Bklyn Museum (2-3-4),MTA Subway - Park Place (S),40
35453497,4bc10723920eb713b9161a2c,Franklin Ave (2-3-4-5),MTA Subway - Park Place (S),34
35453499,4b5d272ef964a520c15429e3,Beverly Rd (2-5),MTA Subway - Church Ave (2/5),53
35453501,4b5d272ef964a520c15429e3,Church Ave (2-5),MTA Subway - Church Ave (2/5),93
35453503,4bf99c94328d76b0f4a114ec,Newkirk Ave (2-5),MTA Subway - Newkirk Ave (2/5),94
35453505,4b5b5d39f964a52000f828e3,Brooklyn College - Flatbush Ave (2-5),MTA Subway - Brooklyn College/Flatbush Av (2/5),90
35453507,,Winthrop St (2-5),,0
35453509,,Sterling St (2-5),,0
35453513,4b7d7a14f964a520f2c02fe3,Crown Hts - Utica Ave (3-4),MTA Subway - Crown Heights/Utica Ave (3/4),77
35453515,4bd1af9b41b9ef3bca54fce5,Kingston Ave (3-4),MTA Subway - Nostrand Ave (3),64
35453517,,Kingston - Throop Aves (A-C),,0
35453519,,Nassau Ave (G),,0
35453521,,Greenpoint Ave (G),,0
35453523,4ab84166f964a520bd7c20e3,Marcy Ave (J-M-Z),MTA Subway - Marcy Ave (J/M/Z),88
